Index,Image Features
0,"[ 2.29405537e-02  8.64289328e-02  1.92862958e-01 ... -7.35102971e-19
  1.50943396e+00  3.83000000e+02]"
1,"[0.00000000e+00 8.55884515e-03 1.97239578e-01 ... 2.13390146e-15
 7.32812500e-01 5.04000000e+02]"
2,"[2.64085919e-01 2.95350980e-03 3.71148974e-01 ... 2.35618729e-16
 1.49882904e+00 4.75000000e+02]"
3,"[2.17787117e-01 3.92420799e-01 2.06139302e+00 ... 4.23592204e-18
 7.46875000e-01 1.06500000e+03]"
4,"[1.71735406e-01 1.47330612e-01 5.46119630e-01 ... 2.41186910e-17
 6.62500000e-01 8.97000000e+02]"
5,"[1.15000367e+00 1.54327500e+00 4.68992740e-01 ... 2.36762471e-17
 1.49882904e+00 5.45000000e+02]"
6,"[2.31430694e-01 5.35490453e-01 1.34696186e-01 ... 3.90226271e-17
 1.33333333e+00 4.91000000e+02]"
7,"[ 4.23978209e-01  1.23120058e+00  2.50624239e-01 ... -3.30331677e-19
  1.77777778e+00  7.74000000e+02]"
8,"[ 2.01096356e-01  3.76321375e-01  9.34011579e-01 ... -1.61566179e-17
  7.50000000e-01  4.20000000e+02]"
9,"[5.35097718e-01 4.41255838e-01 0.00000000e+00 ... 6.11526513e-18
 1.42222222e+00 5.58000000e+02]"
10,"[7.10079372e-02 6.29115701e-01 2.60185450e-01 ... 5.77290672e-18
 7.50000000e-01 5.87000000e+02]"
11,"[6.23171367e-02 1.14578120e-01 2.04013443e+00 ... 5.12184614e-17
 1.33333333e+00 9.12000000e+02]"
12,"[1.67445049e-01 8.32311511e-01 2.25719646e-01 ... 8.30650212e-15
 1.49532710e+00 1.98000000e+02]"
13,"[3.36191133e-02 5.68873286e-01 4.05998856e-01 ... 3.69271003e-15
 1.28256513e+00 3.68000000e+02]"
14,"[2.28785649e-01 1.00337720e+00 1.21038472e-02 ... 7.02432928e-17
 1.50588235e+00 4.29000000e+02]"
15,"[1.55299649e-01 5.17372489e-02 2.10994020e-01 ... 1.15471386e-18
 7.50000000e-01 8.62000000e+02]"
16,"[1.48599729e-01 4.79460239e-01 8.69547129e-02 ... 6.00276953e-17
 9.85937500e-01 1.61200000e+03]"
17,"[1.08644938e+00 1.04003286e+00 4.84856576e-01 ... 2.69675290e-15
 1.00000000e+00 4.32000000e+02]"
18,"[5.70709884e-01 3.12205553e-01 1.38350832e+00 ... 1.34059898e-14
 7.50000000e-01 5.17000000e+02]"
19,"[ 1.29686370e-01  0.00000000e+00  3.00165247e-02 ... -7.88474594e-16
  7.50000000e-01  4.36000000e+02]"
20,"[2.89874822e-01 7.82976896e-02 2.97127604e+00 ... 3.76110167e-19
 1.00000000e+00 5.65000000e+02]"
21,"[4.32209000e-02 2.68538326e-01 4.85096455e-01 ... 7.83235971e-19
 1.49882904e+00 6.85000000e+02]"
22,"[ 3.99628341e-01  3.04732054e-01  8.77891015e-03 ... -1.38414942e-18
  1.00000000e+00  9.62000000e+02]"
23,"[ 6.93322003e-01  5.89079738e-01  4.58227843e-03 ... -3.01253543e-15
  1.49882904e+00  5.00000000e+02]"
24,"[ 7.67870784e-01  7.44669512e-02  1.62965596e-01 ... -2.20010832e-17
  7.50000000e-01  7.13000000e+02]"
25,"[4.01181757e-01 5.19076347e-01 1.60576969e-01 ... 4.00255393e-15
 6.68750000e-01 5.10000000e+02]"
26,"[1.85630143e-01 1.18047726e+00 3.16335857e-01 ... 2.18535178e-19
 1.49882904e+00 8.38000000e+02]"
27,"[ 8.64134729e-02  1.57889217e-01  6.34465933e-01 ... -3.48136127e-17
  1.58415842e+00  5.20000000e+02]"
28,"[ 6.82345033e-01  1.35082102e+00  4.13026541e-01 ... -5.31995712e-18
  1.00000000e+00  1.87600000e+03]"
29,"[2.17276439e-01 9.08711016e-01 1.49000317e-01 ... 1.53615930e-19
 1.32505176e+00 5.70000000e+02]"
30,"[ 0.00000000e+00  3.47643018e-01  3.34645212e-02 ... -1.41746177e-16
  1.50234742e+00  4.41000000e+02]"
31,"[ 7.51529410e-02  5.64694881e-01  3.46326798e-01 ... -4.48938203e-18
  1.00000000e+00  7.92000000e+02]"
32,"[5.49320400e-01 2.51273569e-02 2.80265003e-01 ... 3.23410000e-16
 1.49532710e+00 4.04000000e+02]"
33,"[2.50202604e-02 4.04334128e-01 1.15517592e+00 ... 1.45428386e-16
 1.49882904e+00 4.01000000e+02]"
34,"[4.62179214e-01 4.01472449e-02 1.70046628e-01 ... 4.45989759e-15
 1.33333333e+00 6.26000000e+02]"
35,"[ 0.00000000e+00  5.48092484e-01  1.18113601e+00 ... -4.74159483e-18
  1.33333333e+00  7.43000000e+02]"
36,"[ 2.09269419e-01  2.97069699e-01  7.00516924e-02 ... -2.40438557e-16
  1.50943396e+00  1.22400000e+03]"
37,"[ 1.26685342e-02  1.44130200e-01  5.84786236e-01 ... -1.69662486e-20
  6.53125000e-01  1.32900000e+03]"
38,"[1.10426219e-02 2.76541352e-01 2.76076287e-01 ... 9.43835844e-17
 1.33333333e+00 6.01000000e+02]"
39,"[ 9.04004946e-02  1.02812338e+00  5.69671998e-03 ... -2.52813438e-19
  1.49882904e+00  9.39000000e+02]"
40,"[ 2.13934351e-02  4.62440372e-01  5.79822585e-02 ... -9.88057564e-16
  1.16788321e+00  5.67000000e+02]"
41,"[0.00000000e+00 5.12000993e-02 6.03104711e-01 ... 1.86410035e-15
 6.67187500e-01 3.13000000e+02]"
42,"[1.29661188e-01 2.28025392e-01 2.37559780e-01 ... 1.30053367e-16
 1.33333333e+00 3.72000000e+02]"
43,"[ 5.29382862e-02  2.47692418e+00  2.34996676e+00 ... -8.07995962e-19
  1.39737991e+00  8.66000000e+02]"
44,"[1.14758469e-01 1.94304407e-01 5.55793226e-01 ... 1.35767216e-17
 1.00000000e+00 1.43600000e+03]"
45,"[1.27685979e-01 4.74797860e-02 3.37841392e-01 ... 7.14188778e-20
 7.53125000e-01 1.13300000e+03]"
46,"[ 6.26361012e-01  1.08086959e-01  1.23761427e+00 ... -5.49759311e-19
  1.33333333e+00  7.73000000e+02]"
47,"[ 5.71664749e-03  2.24587142e-01  4.71038446e-02 ... -1.43261064e-20
  9.94000000e-01  6.21000000e+02]"
48,"[3.66319753e-02 8.57646525e-01 7.11393774e-01 ... 8.51545976e-18
 6.67187500e-01 7.89000000e+02]"
49,"[ 0.00000000e+00  4.74273533e-01  9.88888800e-01 ... -1.31098738e-17
  1.33333333e+00  6.10000000e+02]"
50,"[3.50791961e-02 4.76958513e-01 8.47633541e-01 ... 7.33485424e-21
 6.67187500e-01 1.11100000e+03]"
51,"[9.52715814e-01 2.01474234e-01 1.78558588e-01 ... 5.88550637e-16
 1.49184149e+00 3.35000000e+02]"
52,"[4.44081664e-01 4.10510190e-02 9.43541408e-01 ... 5.13497415e-15
 7.50000000e-01 3.26000000e+02]"
